Latitude,Longitude,Dbm,Description
168.79,-44.95,0,
168.79,-44.95,2,
168.79,-44.95,4,
168.79,-44.95,6,
168.79,-44.95,7,
168.79,-44.95,8,
168.79,-44.95,10,
168.79,-44.95,12,
168.79,-44.95,14,
168.79,-44.95,16,
168.79,-44.95,18,
168.79,-44.95,20,
168.79,-44.95,22,
168.79,-44.95,24,
168.79,-44.95,26,
168.79,-44.95,28,
168.79,-44.95,30,
168.79,-44.95,32,
168.79,-44.95,34,
168.79,-44.95,36,
168.79,-44.95,38,
168.79,-44.95,40,
168.79,-44.95,42,
168.79,-44.95,44,
168.79,-44.95,46,
168.79,-44.95,48,
168.79,-44.95,50,
168.79,-44.95,52,
168.79,-44.95,54,
168.8,-44.95,56,
168.8,-44.95,58,
168.8,-44.95,60,
168.8,-44.95,62,
168.8,-44.95,64,
168.8,-44.95,66,
168.8,-44.95,0,
168.8,-44.95,0,
168.8,-44.95,0,
168.8,-44.95,0,
168.8,-44.95,0,
168.8,-44.95,0,
168.8,-44.95,80,
168.8,-44.95,82,
168.8,-44.95,84,
168.8,-44.95,86,
168.8,-44.95,88,
168.8,-44.95,90,
168.8,-44.95,92,
168.8,-44.95,94,
168.8,-44.95,96,
168.8,-44.95,98,
168.8,-44.95,100,
168.8,-44.95,102,
168.8,-44.95,104,
168.8,-44.95,106,
168.8,-44.95,108,
168.8,-44.95,110,
168.8,-44.95,112,
168.8,-44.95,114,
168.8,-44.95,116,
168.8,-44.95,118,
168.8,-44.95,120,
168.8,-44.95,122,
168.81,-44.95,124,
168.81,-44.95,126,
168.81,-44.95,128,
168.81,-44.95,130,
168.81,-44.95,132,
168.81,-44.95,134,
168.81,-44.95,136,
168.81,-44.95,138,
168.81,-44.95,140,
168.81,-44.95,142,
168.81,-44.95,144,
168.81,-44.95,146,
168.81,-44.95,148,
168.81,-44.95,150,
168.81,-44.95,152,
168.81,-44.95,154,
168.81,-44.95,156,
168.81,-44.95,158,
168.81,-44.95,255,
168.81,-44.95,162,
168.81,-44.95,164,
168.81,-44.95,166,
168.81,-44.95,200,
168.81,-44.95,170,
168.82,-44.95,172,
168.82,-44.95,174,
168.82,-44.95,176,
168.82,-44.95,178,
168.82,-44.95,180,
168.82,-44.95,182,
168.82,-44.95,184,
168.82,-44.95,186,
168.82,-44.95,188,
168.82,-44.95,190,
168.82,-44.95,192,
168.82,-44.95,194,
168.82,-44.95,196,
