Latitude,Longitude,Dbm,dbm2
-44.951094,168.787351,0,0.0000
-44.949687,168.7875,0,0.0000
-44.952407,168.787579,0,0.0000
-44.950592,168.788169,50,0.1961
-44.950092,168.788708,50,0.1961
-44.946904,168.788852,32,0.1255
-44.946298,168.788903,1,0.0039
-44.949885,168.788966,2,0.0078
-44.948924,168.789278,4,0.0157
-44.95267,168.789286,6,0.0235
-44.947286,168.789286,8,0.0314
-44.953086,168.789317,10,0.0392
-44.948309,168.789438,12,0.0471
-44.948181,168.789534,14,0.0549
-44.952528,168.790757,16,0.0627
-44.946738,168.791002,18,0.0706
-44.948996,168.791061,20,0.0784
-44.952136,168.791097,22,0.0863
-44.948074,168.791125,24,0.0941
-44.946174,168.791423,26,0.1020
-44.947302,168.791555,28,0.1098
-44.947976,168.791568,30,0.1176
-44.946501,168.79172,32,0.1255
-44.947936,168.792126,200,0.7843
-44.953565,168.792407,212,0.8314
-44.947187,168.792781,38,0.1490
-44.952761,168.793068,40,0.1569
-44.946223,168.793645,42,0.1647
-44.948098,168.793944,44,0.1725
-44.94989,168.794212,100,0.3922
-44.946315,168.794293,48,0.1882
-44.950792,168.794359,50,0.1961
-44.947962,168.794583,52,0.2039
-44.950138,168.794828,54,0.2118
-44.94988,168.795417,56,0.2196
-44.949887,168.795783,58,0.2275
-44.95087,168.796987,60,0.2353
-44.947657,168.797014,62,0.2431
-44.951771,168.797397,64,0.2510
-44.952581,168.797472,66,0.2588
-44.947969,168.79753,68,0.2667
-44.951062,168.797601,70,0.2745
-44.950707,168.79782,72,0.2824
-44.952647,168.798277,74,0.2902
-44.951773,168.798634,76,0.2980
-44.948838,168.799081,78,0.3059
-44.948842,168.799472,80,0.3137
-44.947272,168.799681,82,0.3216
-44.949661,168.800627,84,0.3294
-44.950806,168.800745,86,0.3373
-44.953301,168.801147,88,0.3451
-44.952689,168.801284,90,0.3529
-44.947406,168.801386,92,0.3608
-44.95242,168.801886,94,0.3686
-44.951588,168.804214,96,0.3765
-44.950557,168.804369,98,0.3843
-44.952737,168.804468,100,0.3922
-44.952202,168.804648,102,0.4000
-44.949717,168.804852,104,0.4078
-44.949735,168.805313,106,0.4157
-44.948861,168.805349,108,0.4235
-44.949937,168.80576,110,0.4314
-44.953498,168.805842,112,0.4392
-44.948997,168.806441,114,0.4471
-44.949223,168.806502,116,0.4549
-44.949857,168.806729,118,0.4627
-44.947156,168.806787,120,0.4706
-44.952951,168.806926,122,0.4784
-44.950923,168.806945,124,0.4863
-44.951297,168.807961,126,0.4941
-44.947887,168.807982,128,0.5020
-44.948835,168.808096,130,0.5098
-44.946113,168.808189,132,0.5176
-44.94924,168.808328,134,0.5255
-44.948063,168.808568,136,0.5333
-44.951733,168.809266,138,0.5412
-44.953489,168.809636,140,0.5490
-44.950258,168.810086,142,0.5569
-44.947773,168.810717,144,0.5647
-44.950797,168.810952,0,0.0000
-44.947434,168.811494,0,0.0000
-44.946419,168.811974,150,0.5882
-44.953073,168.813276,152,0.5961
-44.952158,168.813519,154,0.6039
-44.952813,168.813801,156,0.6118
-44.952063,168.814377,158,0.6196
-44.947025,168.814821,160,0.6275
-44.949537,168.81523,162,0.6353
-44.949936,168.815411,164,0.6431
-44.952576,168.815794,166,0.6510
-44.951051,168.816028,168,0.6588
-44.950767,168.816131,255,1.0000
-44.949457,168.816352,172,0.6745
-44.948634,168.8166,174,0.6824
-44.951016,168.816835,176,0.6902
-44.9521,168.816849,178,0.6980
-44.949095,168.817407,180,0.7059
-44.950707,168.817531,182,0.7137
-44.948552,168.817621,184,0.7216
-44.948819,168.818391,186,0.7294
